src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
2,23,583,7.523,2018,542,7.691,-41,0.16800000000000015,-7.032590051457976,2.2331516682174684
2,24,545,6.397,2018,471,7.329,-74,0.9319999999999995,-13.577981651376147,14.569329373143653
2,25,289,3.067,2018,381,4.832,92,1.7649999999999997,31.833910034602077,57.548092598630575
2,26,454,5.341,2018,405,4.893,-49,-0.4480000000000004,-10.79295154185022,-8.387942332896468
2,27,563,7.093,2018,587,7.677,24,0.5839999999999996,4.262877442273535,8.233469617933169
2,28,525,6.267,2018,465,6.288,-60,0.020999999999999908,-11.428571428571429,0.33508855911919433
2,29,256,2.274,2018,165,1.354,-91,-0.9199999999999999,-35.546875,-40.45734388742304
2,30,790,9.801,2018,732,9.791,-58,-0.009999999999999787,-7.341772151898734,-0.10203040506070592
2,31,582,6.996,2018,525,7.356,-57,0.35999999999999943,-9.793814432989691,5.145797598627779
2,32,539,6.595,2018,483,7.068,-56,0.47299999999999986,-10.38961038961039,7.172100075815009
2,33,536,6.428,2018,481,6.478,-55,0.04999999999999982,-10.261194029850747,0.7778469197261951
2,34,421,4.966,2018,377,4.983,-44,0.01699999999999946,-10.451306413301662,0.3423278292388131
2,35,505,6.283,2018,455,6.281,-50,-0.002000000000000668,-9.900990099009901,-0.031831927423216104
2,36,559,7.075,2018,509,7.07,-50,-0.004999999999999893,-8.94454382826476,-0.07067137809187128
2,37,549,6.573,2018,511,6.599,-38,0.0259999999999998,-6.9216757741347905,0.39555758405598357
2,38,407,4.286,2018,373,3.801,-34,-0.48499999999999943,-8.353808353808354,-11.315912272515154
2,39,591,7.543,2018,530,7.534,-61,-0.009000000000000341,-10.321489001692047,-0.11931592204693545
2,40,433,5.525,2018,385,5.524,-48,-0.001000000000000334,-11.085450346420323,-0.018099547511318263
2,41,799,9.991,2018,757,10.197,-42,0.20599999999999952,-5.256570713391739,2.0618556701030877
2,42,414,4.776,2018,380,4.402,-34,-0.37399999999999967,-8.212560386473431,-7.8308207705192565
2,43,595,7.084,2018,539,7.137,-56,0.052999999999999936,-9.411764705882353,0.7481648785996603
2,44,642,8.071,2018,646,8.426,4,0.3550000000000004,0.6230529595015576,4.398463635237275
2,45,534,6.189,2018,489,6.237,-45,0.04800000000000004,-8.426966292134832,0.775569558894814
2,46,314,3.448,2018,260,3.446,-54,-0.0019999999999997797,-17.197452229299362,-0.05800464037122331
2,47,340,3.779,2018,284,3.292,-56,-0.4870000000000001,-16.470588235294116,-12.88700714474729
2,48,536,6.779,2018,554,7.128,18,0.3490000000000002,3.3582089552238807,5.148251954565573
2,49,438,5.299,2018,383,5.766,-55,0.46699999999999964,-12.557077625570775,8.812983581807881
2,50,556,6.672,2018,496,6.698,-60,0.02600000000000069,-10.79136690647482,0.38968824940048996
3,1,503,6.017,2018,415,6.428,-88,0.4109999999999996,-17.495029821073558,6.830646501578852
3,2,925,10.747,2018,786,10.873,-139,0.12599999999999945,-15.027027027027026,1.1724202102912389
3,3,0,0.0,2018,0,0.0,0,0.0,,
3,4,387,4.232,2018,314,4.185,-73,-0.0470000000000006,-18.863049095607234,-1.110586011342169
3,5,890,10.952,2018,732,10.336,-158,-0.6159999999999997,-17.752808988764045,-5.624543462381297
3,6,637,7.764,2018,572,8.121,-65,0.3570000000000002,-10.204081632653061,4.598145285935088
3,7,638,6.922,2018,494,6.765,-144,-0.15700000000000003,-22.570532915360502,-2.268130598093037
3,8,743,9.292,2018,678,9.949,-65,0.657,-8.748317631224763,7.070598364184246
3,9,143,1.25,2018,198,2.73,55,1.48,38.46153846153847,118.39999999999999
3,10,921,12.21,2018,824,12.846,-97,0.6359999999999992,-10.532030401737243,5.208845208845203
3,11,452,5.26,2018,389,5.959,-63,0.6989999999999998,-13.938053097345133,13.288973384030417
3,12,382,3.845,2018,303,3.372,-79,-0.4730000000000003,-20.680628272251308,-12.301690507152154
3,13,632,7.856,2018,569,8.244,-63,0.3879999999999999,-9.968354430379748,4.938900203665987
3,14,932,12.194,2018,840,12.829,-92,0.6349999999999998,-9.871244635193133,5.207479088076101
3,15,798,8.809,2018,670,9.326,-128,0.5170000000000012,-16.040100250626566,5.868997616074484
3,16,1020,11.9,2018,826,11.646,-194,-0.25399999999999956,-19.019607843137255,-2.134453781512601
3,17,664,7.095,2018,567,7.328,-97,0.23300000000000054,-14.60843373493976,3.284002818886547
3,18,207,1.711,2018,419,4.602,212,2.891,102.41545893719808,168.9655172413793
3,19,490,6.603,2018,433,6.584,-57,-0.019000000000000128,-11.63265306122449,-0.2877479933363642
3,20,624,7.699,2018,553,7.991,-71,0.2919999999999998,-11.378205128205128,3.7927003506948926
3,21,632,8.119,2018,516,7.655,-116,-0.4639999999999995,-18.354430379746837,-5.71498953073038
3,22,464,4.758,2018,390,4.471,-74,-0.2869999999999999,-15.948275862068966,-6.031946195880621
3,23,399,5.386,2018,341,5.365,-58,-0.020999999999999908,-14.536340852130325,-0.3898997400668382
